Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil;State;State2;Experiment
En-61;UAS01_1_Endosphere;UAS01;UAS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-62;UAS01_2_Endosphere;UAS01;UAS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-63;UAS01_3_Endosphere;UAS01;UAS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-64;UAS01_4_Endosphere;UAS01;UAS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-65;UAS01_1_Rhizosphere;UAS01;UAS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-66;UAS01_2_Rhizosphere;UAS01;UAS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-67;UAS01_3_Rhizosphere;UAS01;UAS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-68;UAS01_4_Rhizosphere;UAS01;UAS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-69;UAS01_1_Nodule;UAS01;UAS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-70;UAS01_2_Nodule;UAS01;UAS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-71;UAS01_3_Nodule;UAS01;UAS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-72;UAS01_4_Nodule;UAS01;UAS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-73;UCS03_1_Endosphere;UCS03;UCS03;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-74;UCS03_2_Endosphere;UCS03;UCS03;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-75;UCS03_3_Endosphere;UCS03;UCS03;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-76;UCS03_4_Endosphere;UCS03;UCS03;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-77;UCS03_1_Rhizosphere;UCS03;UCS03;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
