SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
MG198_1	156	MG198_RZ	MG198_RZ_SC	MG198	SC	one	zero
MG201_1	157	MG201_RZ	MG201_RZ_SC	MG201	SC	one	three
MG202_1	158	MG202_RZ	MG202_RZ_SC	MG202	SC	one	zero
MG203_1	159	MG203_RZ	MG203_RZ_SC	MG203	SC	one	zero
MG204_1	160	MG204_RZ	MG204_RZ_SC	MG204	SC	one	zero
MG205_1	161	MG205_RZ	MG205_RZ_SC	MG205	SC	one	zero
MG206_1	162	MG206_RZ	MG206_RZ_SC	MG206	SC	one	three
MG207_1	163	MG207_RZ	MG207_RZ_SC	MG207	SC	one	three
MG209_1	164	MG209_RZ	MG209_RZ_SC	MG209	SC	one	three
MG221_1	165	MG221_RZ	MG221_RZ_SC	MG221	SC	one	three
MG222_1	166	MG222_RZ	MG222_RZ_SC	MG222	SC	one	three
MG225_1	167	MG225_RZ	MG225_RZ_SC	MG225	SC	one	three
Gifu_1	168	Gifu_RZ	Gifu_RZ_SC	Gifu	SC	one	zero
Stick_NI_1	169	Stick_RZ	Stick_RZ_NI	Stick	NI	one	four
Stick_NI_2	170	Stick_RZ	Stick_RZ_NI	Stick	NI	one	four
Stick_SC_1	171	Stick_RZ	Stick_RZ_SC	Stick	SC	one	four
Stick_SC_2	172	Stick_RZ	Stick_RZ_SC	Stick	SC	one	four
SC_4	173	Input_Culture	Input_Culture_SC	Input_Culture	SC	two	four
SC_5	174	Input_Culture	Input_Culture_SC	Input_Culture	SC	two	four
SC_6	175	Input_Culture	Input_Culture_SC	Input_Culture	SC	two	four
MG1_2	176	MG1_RZ	MG1_RZ_SC	MG1	SC	two	zero
MG2_2	177	MG2_RZ	MG2_RZ_SC	MG2	SC	two	two
MG3_2	178	MG3_RZ	MG3_RZ_SC	MG3	SC	two	two
MG4_2	179	MG4_RZ	MG4_RZ_SC	MG4	SC	two	zero
MG5_2	180	MG5_RZ	MG5_RZ_SC	MG5	SC	two	zero
MG6_2	181	MG6_RZ	MG6_RZ_SC	MG6	SC	two	zero
MG7_2	182	MG7_RZ	MG7_RZ_SC	MG7	SC	two	zero
MG8_2	183	MG8_RZ	MG8_RZ_SC	MG8	SC	two	zero
MG9_2	184	MG9_RZ	MG9_RZ_SC	MG9	SC	two	zero
MG10_2	185	MG10_RZ	MG10_RZ_SC	MG10	SC	two	zero
MG11_2	186	MG11_RZ	MG11_RZ_SC	MG11	SC	two	two
MG12_2	187	MG12_RZ	MG12_RZ_SC	MG12	SC	two	zero
MG13_2	188	MG13_RZ	MG13_RZ_SC	MG13	SC	two	two
MG14_2	189	MG14_RZ	MG14_RZ_SC	MG14	SC	two	two
MG15_2	190	MG15_RZ	MG15_RZ_SC	MG15	SC	two	two
MG16_2	191	MG16_RZ	MG16_RZ_SC	MG16	SC	two	two
MG18_2	192	MG18_RZ	MG18_RZ_SC	MG18	SC	two	zero
MG19_2	193	MG19_RZ	MG19_RZ_SC	MG19	SC	two	two
MG20_2	194	MG20_RZ	MG20_RZ_SC	MG20	SC	two	two
MG21_2	195	MG21_RZ	MG21_RZ_SC	MG21	SC	two	two
MG22_2	196	MG22_RZ	MG22_RZ_SC	MG22	SC	two	two
MG23_2	197	MG23_RZ	MG23_RZ_SC	MG23	SC	two	two
MG24_2	198	MG24_RZ	MG24_RZ_SC	MG24	SC	two	two
MG25_2	199	MG25_RZ	MG25_RZ_SC	MG25	SC	two	two
MG26_2	200	MG26_RZ	MG26_RZ_SC	MG26	SC	two	two
MG27_2	201	MG27_RZ	MG27_RZ_SC	MG27	SC	two	two
MG28_2	202	MG28_RZ	MG28_RZ_SC	MG28	SC	two	two
MG29_2	203	MG29_RZ	MG29_RZ_SC	MG29	SC	two	two
MG30_2	204	MG30_RZ	MG30_RZ_SC	MG30	SC	two	two
MG32_2	205	MG32_RZ	MG32_RZ_SC	MG32	SC	two	two
MG33_2	206	MG33_RZ	MG33_RZ_SC	MG33	SC	two	two
MG34_2	207	MG34_RZ	MG34_RZ_SC	MG34	SC	two	zero
MG35_2	208	MG35_RZ	MG35_RZ_SC	MG35	SC	two	two
MG36_2	209	MG36_RZ	MG36_RZ_SC	MG36	SC	two	two
MG38_2	210	MG38_RZ	MG38_RZ_SC	MG38	SC	two	two
MG39_2	211	MG39_RZ	MG39_RZ_SC	MG39	SC	two	zero
MG40_2	212	MG40_RZ	MG40_RZ_SC	MG40	SC	two	two
MG41_2	213	MG41_RZ	MG41_RZ_SC	MG41	SC	two	two
MG42_2	214	MG42_RZ	MG42_RZ_SC	MG42	SC	two	two
MG44_2	215	MG44_RZ	MG44_RZ_SC	MG44	SC	two	two
MG45_2	216	MG45_RZ	MG45_RZ_SC	MG45	SC	two	two
MG46_2	217	MG46_RZ	MG46_RZ_SC	MG46	SC	two	two
MG48_2	218	MG48_RZ	MG48_RZ_SC	MG48	SC	two	two
MG49_2	219	MG49_RZ	MG49_RZ_SC	MG49	SC	two	two
MG50_2	220	MG50_RZ	MG50_RZ_SC	MG50	SC	two	zero
MG51_2	221	MG51_RZ	MG51_RZ_SC	MG51	SC	two	two
MG52_2	222	MG52_RZ	MG52_RZ_SC	MG52	SC	two	one
MG53_2	223	MG53_RZ	MG53_RZ_SC	MG53	SC	two	one
MG55_2	224	MG55_RZ	MG55_RZ_SC	MG55	SC	two	two
MG56_2	225	MG56_RZ	MG56_RZ_SC	MG56	SC	two	two
MG57_2	226	MG57_RZ	MG57_RZ_SC	MG57	SC	two	two
MG58_2	227	MG58_RZ	MG58_RZ_SC	MG58	SC	two	two
MG59_2	228	MG59_RZ	MG59_RZ_SC	MG59	SC	two	two
MG60_2	229	MG60_RZ	MG60_RZ_SC	MG60	SC	two	one
MG61_2	230	MG61_RZ	MG61_RZ_SC	MG61	SC	two	one
MG62_2	231	MG62_RZ	MG62_RZ_SC	MG62	SC	two	zero
MG63_2	232	MG63_RZ	MG63_RZ_SC	MG63	SC	two	zero
MG64_2	233	MG64_RZ	MG64_RZ_SC	MG64	SC	two	one
MG65_2	234	MG65_RZ	MG65_RZ_SC	MG65	SC	two	one
MG66_2	235	MG66_RZ	MG66_RZ_SC	MG66	SC	two	one
MG67_2	236	MG67_RZ	MG67_RZ_SC	MG67	SC	two	one
MG68_2	237	MG68_RZ	MG68_RZ_SC	MG68	SC	two	one
MG69_2	238	MG69_RZ	MG69_RZ_SC	MG69	SC	two	one
MG70_2	239	MG70_RZ	MG70_RZ_SC	MG70	SC	two	zero
MG71_2	240	MG71_RZ	MG71_RZ_SC	MG71	SC	two	one
MG72_2	241	MG72_RZ	MG72_RZ_SC	MG72	SC	two	one
MG73_2	242	MG73_RZ	MG73_RZ_SC	MG73	SC	two	one
MG74_2	243	MG74_RZ	MG74_RZ_SC	MG74	SC	two	one
MG75_2	244	MG75_RZ	MG75_RZ_SC	MG75	SC	two	one
MG76_2	245	MG76_RZ	MG76_RZ_SC	MG76	SC	two	one
MG77_2	246	MG77_RZ	MG77_RZ_SC	MG77	SC	two	zero
MG78_2	247	MG78_RZ	MG78_RZ_SC	MG78	SC	two	one
MG79_2	248	MG79_RZ	MG79_RZ_SC	MG79	SC	two	one
MG80_2	249	MG80_RZ	MG80_RZ_SC	MG80	SC	two	zero
MG81_2	250	MG81_RZ	MG81_RZ_SC	MG81	SC	two	one
MG82_2	251	MG82_RZ	MG82_RZ_SC	MG82	SC	two	one
MG83_2	252	MG83_RZ	MG83_RZ_SC	MG83	SC	two	one
MG84_2	253	MG84_RZ	MG84_RZ_SC	MG84	SC	two	one
MG85_2	254	MG85_RZ	MG85_RZ_SC	MG85	SC	two	one
MG86_2	255	MG86_RZ	MG86_RZ_SC	MG86	SC	two	one
MG88_2	256	MG88_RZ	MG88_RZ_SC	MG88	SC	two	three
